KEY,SPEAKER,SENTENCE,SHOW,SARCASM,SENTIMENT_IMPLICIT,SENTIMENT_EXPLICIT,EMOTION_IMPLICIT,EMOTION_EXPLICIT
2_86,CHANDLER,"Okay, that's enough honey!",FRIENDS,False,-1,-1,6,6
2_86,PERSON,I don't know. Let me see the ring.,FRIENDS,False,0,0,8,8
2_86,CHANDLER,"Great! Okay, here.",FRIENDS,False,1,1,7,7
,,,,,,,,
2_87,JOEY,"Uhh, the ball thing.",FRIENDS,False,1,1,7,7
2_87,ROSS,Yeah?,FRIENDS,False,1,1,7,7
2_87,JOEY,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",FRIENDS,False,1,1,7,7
2_87,ROSS,Yeah it would!,FRIENDS,False,1,1,7,7
,,,,,,,,
2_88,RACHEL,Hi! What are you doing here?,FRIENDS,False,1,1,2,2
2_88,ROSS,"Ah y'know, this building is on my paper route so I...",FRIENDS,False,1,1,7,7
2_88,RACHEL,Oh.,FRIENDS,False,1,1,7,7
,,,,,,,,
2_89,DOROTHY,"We clinked at the glasses, Stan gave me a toy smile and I winked at him",GOLDENGIRLS,True,1,1,7,7
2_89,DOROTHY,And then I gulped down the champaigne in one go,GOLDENGIRLS,True,1,1,7,7
2_89,DOROTHY,And it didn't go sdown smoothly,GOLDENGIRLS,True,1,1,7,7
2_89,DOROTHY,Later Stan told me that he put my engagement ring in the bottom of the glass,GOLDENGIRLS,True,1,1,7,7
2_89,DOROTHY,It turned up three days later.,GOLDENGIRLS,True,1,1,7,7
2_89,ROSE,Where did it turn up Dorothy?,GOLDENGIRLS,True,0,0,8,8
2_89,DOROTHY,On the home shopping network,GOLDENGIRLS,True,-1,-1,1,1
,,,,,,,,
2_9,ROSE,Shall I set this down someplace?,GOLDENGIRLS,True,1,1,7,7
2_9,DOROTHY,"No Rose, go to the corner and open a stand",GOLDENGIRLS,True,-1,1,1,7
,,,,,,,,
2_91,PERSON,"Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion.",FRIENDS,False,0,0,8,8
2_91,MONICA,See?,FRIENDS,False,1,1,7,7
2_91,CHANDLER,"Yeah, that's the same as ""it has something to do with wind"".",FRIENDS,False,-1,-1,6,6
2_91,MONICA,"Alright, I'm gonna go pick up a few things for the trip.",FRIENDS,False,0,0,8,8
,,,,,,,,
2_92,CHANDLER,Anybody know a good tailor?,FRIENDS,True,1,1,7,7
2_92,JOEY,You needs some clothes altered?,FRIENDS,True,0,0,8,8
2_92,CHANDLER,"No, no, I am just looking for a man to draw on me with chalk.",FRIENDS,True,-1,1,8,8
,,,,,,,,
2_94,ROSS,I can't believe you'd rather go out with him than me.,FRIENDS,False,-1,-1,4,4
2_94,RACHEL,"Would you excuse me, please? I'm trying to have a date here.",FRIENDS,False,-1,-1,1,1
2_94,ROSS,"Fine, just stop thinking about me.",FRIENDS,False,1,1,7,7
2_94,ROSS,"Can't do it, can you?",FRIENDS,False,1,1,7,7
,,,,,,,,
2_96,ROSS,"Y'know, y'know I'm lookin' and I don't think anyone's home here. I say we just break the window, crawl through, and-and y'know explain later. Yeah?",FRIENDS,False,-1,-1,3,3
2_96,JOEY,Really? No one's home?,FRIENDS,False,0,0,5,5
2_96,ROSS,I don't think so. Hello?  When you get in there,FRIENDS,False,-1,-1,4,4
,,,,,,,,
2_97,PHOEBE,Definitely!,FRIENDS,True,1,1,8,8
2_97,RACHEL,"Yeah, I'm pretty confident about that. That's what makes it so easy for me to be 80% happy for Monica and Chandler!",FRIENDS,True,1,1,7,7
2_97,RACHEL,It would be nice to have a little guarantee though.,FRIENDS,True,1,1,7,7
,,,,,,,,
2_99,JOEY,"What? Ace is high! Jack, queen, king, ace!",FRIENDS,False,-1,-1,6,6
2_99,MONICA,"No! Ace is low! Ace, two, three, four!",FRIENDS,False,-1,-1,6,6
2_99,PHOEBE,I don't know. Ooh! Ooh! Look it! Ah-ha!,FRIENDS,False,1,1,7,7
2_99,RACHEL,"All right, cut, let's pick again, pick again.",FRIENDS,False,1,1,2,2
